pkid,method,layers,culled_depth,num_params
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
1,PenaltySolver,5,140,10
1,PenaltySolver,5,132,10
1,PenaltySolver,5,132,10
1,PenaltySolver,5,140,10
1,PenaltySolver,5,132,10
1,PenaltySolver,5,132,10
1,PenaltySolver,5,140,10
1,PenaltySolver,5,132,10
1,PenaltySolver,5,132,10
1,PenaltySolver,5,140,10
2,PenaltySolver,5,82,10
2,PenaltySolver,5,90,10
2,PenaltySolver,5,90,10
2,PenaltySolver,5,90,10
2,PenaltySolver,5,90,10
2,PenaltySolver,5,82,10
2,PenaltySolver,5,72,10
2,PenaltySolver,5,72,10
2,PenaltySolver,5,82,10
2,PenaltySolver,5,72,10
3,PenaltySolver,5,52,10
3,PenaltySolver,5,52,10
3,PenaltySolver,5,52,10
3,PenaltySolver,5,52,10
3,PenaltySolver,5,52,10
3,PenaltySolver,5,52,10
3,PenaltySolver,5,52,10
3,PenaltySolver,5,52,10
3,PenaltySolver,5,52,10
3,PenaltySolver,5,52,10
4,PenaltySolver,5,134,10
4,PenaltySolver,5,140,10
4,PenaltySolver,5,132,10
4,PenaltySolver,5,132,10
4,PenaltySolver,5,134,10
4,PenaltySolver,5,130,10
4,PenaltySolver,5,108,10
4,PenaltySolver,5,140,10
4,PenaltySolver,5,134,10
4,PenaltySolver,5,134,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
1,CyclicSolver,5,200,10
1,CyclicSolver,5,200,10
1,CyclicSolver,5,200,10
1,CyclicSolver,5,200,10
1,CyclicSolver,5,200,10
1,CyclicSolver,5,200,10
1,CyclicSolver,5,200,10
1,CyclicSolver,5,200,10
1,CyclicSolver,5,200,10
1,CyclicSolver,5,200,10
2,CyclicSolver,5,145,10
2,CyclicSolver,5,145,10
2,CyclicSolver,5,145,10
2,CyclicSolver,5,145,10
2,CyclicSolver,5,145,10
2,CyclicSolver,5,145,10
2,CyclicSolver,5,135,10
2,CyclicSolver,5,135,10
2,CyclicSolver,5,145,10
2,CyclicSolver,5,135,10
3,CyclicSolver,5,115,10
3,CyclicSolver,5,115,10
3,CyclicSolver,5,115,10
3,CyclicSolver,5,115,10
3,CyclicSolver,5,115,10
3,CyclicSolver,5,115,10
3,CyclicSolver,5,115,10
3,CyclicSolver,5,115,10
3,CyclicSolver,5,115,10
3,CyclicSolver,5,115,10
4,CyclicSolver,5,134,10
4,CyclicSolver,5,140,10
4,CyclicSolver,5,132,10
4,CyclicSolver,5,132,10
4,CyclicSolver,5,134,10
4,CyclicSolver,5,130,10
4,CyclicSolver,5,108,10
4,CyclicSolver,5,140,10
4,CyclicSolver,5,134,10
4,CyclicSolver,5,134,10
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
0,HeaSolver,5,30,90
1,HeaSolver,5,60,180
1,HeaSolver,5,60,180
1,HeaSolver,5,60,180
1,HeaSolver,5,60,180
1,HeaSolver,5,60,180
1,HeaSolver,5,60,180
1,HeaSolver,5,60,180
1,HeaSolver,5,60,180
1,HeaSolver,5,60,180
1,HeaSolver,5,60,180
2,HeaSolver,5,40,120
2,HeaSolver,5,40,120
2,HeaSolver,5,40,120
2,HeaSolver,5,40,120
2,HeaSolver,5,40,120
2,HeaSolver,5,40,120
2,HeaSolver,5,40,120
2,HeaSolver,5,40,120
2,HeaSolver,5,40,120
2,HeaSolver,5,40,120
3,HeaSolver,5,35,105
3,HeaSolver,5,35,105
3,HeaSolver,5,35,105
3,HeaSolver,5,35,105
3,HeaSolver,5,35,105
3,HeaSolver,5,35,105
3,HeaSolver,5,35,105
3,HeaSolver,5,35,105
3,HeaSolver,5,35,105
3,HeaSolver,5,35,105
4,HeaSolver,5,45,135
4,HeaSolver,5,45,135
4,HeaSolver,5,45,135
4,HeaSolver,5,45,135
4,HeaSolver,5,45,135
4,HeaSolver,5,45,135
4,HeaSolver,5,45,135
4,HeaSolver,5,45,135
4,HeaSolver,5,45,135
4,HeaSolver,5,45,135
0,ChocoSolver,1,44,2
0,ChocoSolver,1,44,2
0,ChocoSolver,1,44,2
0,ChocoSolver,1,44,2
0,ChocoSolver,1,44,2
0,ChocoSolver,1,44,2
0,ChocoSolver,1,44,2
0,ChocoSolver,1,44,2
0,ChocoSolver,1,44,2
0,ChocoSolver,1,44,2
1,ChocoSolver,1,167,2
1,ChocoSolver,1,167,2
1,ChocoSolver,1,168,2
1,ChocoSolver,1,167,2
1,ChocoSolver,1,167,2
1,ChocoSolver,1,168,2
1,ChocoSolver,1,167,2
1,ChocoSolver,1,167,2
1,ChocoSolver,1,168,2
1,ChocoSolver,1,167,2
2,ChocoSolver,1,115,2
2,ChocoSolver,1,115,2
2,ChocoSolver,1,115,2
2,ChocoSolver,1,116,2
2,ChocoSolver,1,115,2
2,ChocoSolver,1,115,2
2,ChocoSolver,1,114,2
2,ChocoSolver,1,114,2
2,ChocoSolver,1,116,2
2,ChocoSolver,1,114,2
3,ChocoSolver,1,106,2
3,ChocoSolver,1,106,2
3,ChocoSolver,1,106,2
3,ChocoSolver,1,74,2
3,ChocoSolver,1,106,2
3,ChocoSolver,1,74,2
3,ChocoSolver,1,106,2
3,ChocoSolver,1,106,2
3,ChocoSolver,1,74,2
3,ChocoSolver,1,106,2
4,ChocoSolver,1,62,2
4,ChocoSolver,1,56,2
4,ChocoSolver,1,85,2
4,ChocoSolver,1,117,2
4,ChocoSolver,1,58,2
4,ChocoSolver,1,44,2
4,ChocoSolver,1,121,2
4,ChocoSolver,1,76,2
4,ChocoSolver,1,149,2
4,ChocoSolver,1,56,2
