pkid,pbid,layers,variables,constraints,method,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,0,5,6,3,ChocoSolver,78.02734375,100.0,0.017344156899234985,115,0.924620745703578,2.3929221662692726,130048
0,1,5,6,3,ChocoSolver,96.875,100.0,0.025710227268052686,112,0.8893543884623796,2.3133731314446777,126976
0,2,5,6,3,ChocoSolver,76.5625,100.0,0.07113191450331817,94,0.8760150766465813,1.952290871180594,106496
0,3,5,6,3,ChocoSolver,86.23046875,100.0,0.1325048159065062,118,0.7458185420837253,2.4251489848829806,133120
0,4,5,6,3,ChocoSolver,80.6640625,100.0,0.08413085936658692,108,0.8207141787279397,2.2681535792071372,121856
0,5,5,6,3,ChocoSolver,85.64453125,100.0,0.03915700604207145,102,0.822379102697596,2.1270553313661367,115712
0,6,5,6,3,ChocoSolver,82.421875,100.0,0.017352068864134068,91,0.5472256180364639,1.8608521460555494,103424
0,7,5,6,3,ChocoSolver,79.78515625,100.0,0.0859925175935222,111,1.0058192410506308,2.3059188909828663,125952
0,8,5,6,3,ChocoSolver,86.71875,100.0,0.20535714271045918,102,0.7808651914820075,2.1179760545492172,115712
0,9,5,6,3,ChocoSolver,82.03125,100.0,0.09201388887959457,106,0.646992162335664,2.2666589496657252,119808
0,0,5,6,3,RasenganSolver,97.4609375,100.0,0.0013224283852789139,46,0.4058059111703187,0.798449169844389,52224
0,1,5,6,3,RasenganSolver,99.90234375,100.0,0.0009410511361925361,44,0.37196698714978993,0.7699005508329719,50176
0,2,5,6,3,RasenganSolver,99.8046875,100.0,0.0007183908045151275,43,0.373717759270221,0.7937716818414629,49152
0,3,5,6,3,RasenganSolver,99.90234375,100.0,0.0007357662670224979,49,0.3750201629009098,0.8219036611262709,55296
0,4,5,6,3,RasenganSolver,100.0,100.0,0.0,36,0.3366965362802148,0.6885678896214813,40960
0,5,5,6,3,RasenganSolver,100.0,100.0,0.0,43,0.366932675242424,0.7715040377806872,49152
0,6,5,6,3,RasenganSolver,100.0,100.0,0.0,45,0.3869897872209549,0.7950695776380599,51200
0,7,5,6,3,RasenganSolver,95.21484375,100.0,0.02622964348222118,42,0.44185127946548164,0.771654017502442,48128
0,8,5,6,3,RasenganSolver,99.8046875,100.0,0.0026506696409638072,42,0.36533244024030864,0.7849316587671638,48128
0,9,5,6,3,RasenganSolver,100.0,100.0,0.0,36,0.34326373622752726,0.6752039177808911,40960
1,0,5,10,6,ChocoSolver,78.41796875,100.0,0.141945167810931,112,1.9547809252981097,3.708738497691229,126976
1,1,5,10,6,ChocoSolver,46.19140625,100.0,0.14301687046065095,102,1.8049251069314778,3.400120277190581,115712
1,2,5,10,6,ChocoSolver,60.15625,100.0,0.21399818976048804,103,1.7995951727498323,3.4544088151305914,116736
1,3,5,10,6,ChocoSolver,99.70703125,100.0,0.0017591059601484034,129,1.7067701930645853,4.242761976784095,145408
1,4,5,10,6,ChocoSolver,6.15234375,100.0,0.03379216269573078,100,1.968402955448255,3.344463596586138,113664
1,5,5,10,6,ChocoSolver,31.0546875,100.0,0.4735760355553982,102,1.814450241625309,3.361752650467679,115712
1,6,5,10,6,ChocoSolver,76.7578125,100.0,0.05439814814143233,110,2.1785259768366814,3.6928636133670807,124928
1,7,5,10,6,ChocoSolver,8.984375,100.0,0.06749396594979724,92,1.3750881082378328,3.048855062806979,104448
1,8,5,10,6,ChocoSolver,58.3984375,100.0,0.5184904398988829,98,1.8949101690668613,3.4287771228700876,110592
1,9,5,10,6,ChocoSolver,80.2734375,100.0,0.2900390624508408,105,1.9075159213971347,3.529742495622486,118784
1,0,5,10,6,RasenganSolver,100.0,100.0,0.0,66,1.0377632263116539,1.7099192216992378,74752
1,1,5,10,6,RasenganSolver,23.6328125,100.0,0.018993432969638156,64,1.3690657585393637,1.7728200184646994,72704
1,2,5,10,6,RasenganSolver,100.0,100.0,0.0,84,1.1908878965768963,2.043780879350379,95232
1,3,5,10,6,RasenganSolver,90.625,100.0,0.021109271521780843,92,1.4739988064393401,2.1375123015604913,104448
1,4,5,10,6,RasenganSolver,99.70703125,100.0,4.650297618678548e-05,93,1.6081377360969782,2.1697504620533437,105472
1,5,5,10,6,RasenganSolver,99.51171875,100.0,0.003031885900810246,73,1.025126933120191,2.1201822268776596,82944
1,6,5,10,6,RasenganSolver,99.21875,100.0,0.0011091820986284962,72,1.0104467873461545,1.8062127206940204,81920
1,7,5,10,6,RasenganSolver,99.90234375,100.0,0.0002699441056691102,65,1.1662231099326164,1.6992259491235018,73728
1,8,5,10,6,RasenganSolver,99.70703125,100.0,0.003803453946867967,67,1.042815153254196,1.755472487770021,75776
1,9,5,10,6,RasenganSolver,99.70703125,100.0,0.004320047668759314,73,1.3300722122658044,1.984979524742812,82944
2,0,5,15,8,ChocoSolver,40.4296875,100.0,0.7799346299428704,99,4.162314567482099,8.41015347535722,111616
2,1,5,15,8,ChocoSolver,5.078125,100.0,0.3699055187625662,95,4.073448204435408,8.131804064614698,107520
2,2,5,15,8,ChocoSolver,24.31640625,100.0,1.081802179650395,109,4.906197878299281,9.213736776728183,122880
2,3,5,15,8,ChocoSolver,6.34765625,100.0,0.47139786070661754,104,4.181022932287306,8.933937523746863,117760
2,4,5,15,8,ChocoSolver,3.61328125,100.0,1.469382956903818,103,4.643760589649901,8.730417680228129,116736
2,5,5,15,8,ChocoSolver,0.48828125,100.0,0.7122844826767489,98,3.8228457579389215,8.338918762980029,110592
2,6,5,15,8,ChocoSolver,0,100.0,0.10958106363673568,117,3.9120787419378757,11.119357001967728,132096
2,7,5,15,8,ChocoSolver,11.42578125,100.0,0.6141015624508719,108,4.6990123928990215,9.09542608098127,121856
2,8,5,15,8,ChocoSolver,16.50390625,100.0,1.0789677866672647,108,4.433756312355399,9.341529258526862,121856
2,9,5,15,8,ChocoSolver,41.30859375,100.0,0.19823242185517678,96,3.715633198386058,8.38428332656622,108544
2,0,5,15,8,RasenganSolver,94.53125,100.0,0.0632573341707638,221,9.349035027436912,12.063207497354597,249856
2,1,5,15,8,RasenganSolver,99.0234375,100.0,0.0033241610220037356,203,8.990230040159076,10.967912239953876,229376
2,2,5,15,8,RasenganSolver,97.75390625,100.0,0.014793113424099617,224,8.277912826044485,11.42427898501046,252928
2,3,5,15,8,RasenganSolver,3.3203125,100.0,0.09382864932256182,179,8.56305955373682,9.687842656159773,201728
2,4,5,15,8,RasenganSolver,99.4140625,100.0,0.007921006942977591,205,8.512073883088306,11.25153003190644,231424
