m,n,variables,depth,num_params,depth_2,num_params_2
1,2,6,1513,9,1021,5
1,3,9,5292,25,2049,8
1,4,12,11382,49,3024,11
1,5,15,18225,81,4004,14
1,6,18,29987,121,4905,17
1,7,21,41809,169,6099,20
2,2,10,10942,16,3224,7
2,3,15,37699,49,10839,17
2,4,20,82296,100,15250,25
2,5,25,140735,169,30250,45
2,6,30,213408,256,46317,71
2,7,35,303648,361,69025,103
3,2,14,32909,25,7360,9
3,3,21,120468,81,32447,30
3,4,28,256842,169,47692,43
3,5,35,448492,289,85611,73
3,6,42,693412,441,131389,111
3,7,49,993838,625,190652,157
4,2,18,71061,36,13503,11
4,3,27,261947,121,56280,36
4,4,36,566832,256,81724,52
4,5,45,1000308,441,138714,89
