pkid,pbid,layers,variables,constraints,method,fake_device,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,0,5,6,3,HeaSolver,FakeKyivProvider,1.7578125,5.078125,85.14577407032202,51,1.8745251335203648,191.79547626455314,57344
0,1,5,6,3,HeaSolver,FakeKyivProvider,2.63671875,7.71484375,295.3453766196821,51,1.8054894877132028,217.23206691723317,57344
0,2,5,6,3,HeaSolver,FakeKyivProvider,2.05078125,6.93359375,122.47656234690429,51,1.7658344325609505,193.57617860333994,57344
0,3,5,6,3,HeaSolver,FakeKyivProvider,2.44140625,6.34765625,154.7864580753559,51,1.734811020316556,192.71763242874295,57344
0,4,5,6,3,HeaSolver,FakeKyivProvider,3.3203125,7.6171875,123.82366053739477,51,1.7261468467768282,194.09465188509785,57344
0,5,5,6,3,HeaSolver,FakeKyivProvider,0.68359375,7.421875,111.58129868864836,51,1.771068821894005,192.5537834931165,57344
0,6,5,6,3,HeaSolver,FakeKyivProvider,1.5625,6.93359375,233.1198724640753,51,1.726491553010419,193.98331180098467,57344
0,7,5,6,3,HeaSolver,FakeKyivProvider,2.34375,8.49609375,81.7532847268152,51,1.7645926871336997,217.76833028485999,57344
0,8,5,6,3,HeaSolver,FakeKyivProvider,1.7578125,5.17578125,233.1633294952167,51,1.7479731368366629,217.11047366517596,57344
0,9,5,6,3,HeaSolver,FakeKyivProvider,0.9765625,6.25,115.25805649655241,51,1.7557207059580833,196.2449710140936,57344
0,0,5,6,3,PenaltySolver,FakeKyivProvider,2.24609375,8.3984375,73.16557166644039,51,1.7924019724596292,217.40257717156783,57344
0,1,5,6,3,PenaltySolver,FakeKyivProvider,0.5859375,8.7890625,269.40820222697266,51,1.889951559016481,216.92338580009528,57344
0,2,5,6,3,PenaltySolver,FakeKyivProvider,2.83203125,10.3515625,100.16284167167144,51,1.8832991623785347,217.44939608173445,57344
0,3,5,6,3,PenaltySolver,FakeKyivProvider,1.171875,6.4453125,128.1689450988851,51,1.8694867584854364,191.5293764474336,57344
0,4,5,6,3,PenaltySolver,FakeKyivProvider,0.78125,6.93359375,113.4852118914497,51,1.828651511343196,191.8708300315775,57344
0,5,5,6,3,PenaltySolver,FakeKyivProvider,1.07421875,11.81640625,99.82348620334564,51,1.8773263855837286,192.53987138532102,57344
0,6,5,6,3,PenaltySolver,FakeKyivProvider,1.85546875,9.5703125,217.9106439864734,51,1.8324826054740697,191.65837996965274,57344
0,7,5,6,3,PenaltySolver,FakeKyivProvider,3.22265625,11.71875,63.26846585157412,51,1.9846571036614478,191.11796716437675,57344
0,8,5,6,3,PenaltySolver,FakeKyivProvider,1.66015625,8.49609375,181.7502436862494,51,1.9351464479696006,192.69572052406147,57344
0,9,5,6,3,PenaltySolver,FakeKyivProvider,2.24609375,10.83984375,98.0185545649768,51,1.8355626671109349,191.32297876803204,57344
0,0,5,6,3,ChocoSolver,FakeKyivProvider,3.61328125,12.79296875,76.89328828236974,51,2.004047988448292,235.68708751141094,57344
0,1,5,6,3,ChocoSolver,FakeKyivProvider,7.6171875,18.5546875,229.55240808899197,51,1.953794478205964,233.2630845028907,57344
0,2,5,6,3,ChocoSolver,FakeKyivProvider,2.9296875,12.01171875,104.15026842449966,51,1.9146893189754337,235.20728123397566,57344
0,3,5,6,3,ChocoSolver,FakeKyivProvider,3.22265625,10.83984375,143.30289689657852,51,2.019782723626122,238.8047636684496,57344
0,4,5,6,3,ChocoSolver,FakeKyivProvider,4.00390625,19.23828125,95.78892285423011,51,1.9730374764185399,258.9307371615432,57344
0,5,5,6,3,ChocoSolver,FakeKyivProvider,4.4921875,14.35546875,104.50097643187377,51,2.008739832788706,260.62235018913634,57344
0,6,5,6,3,ChocoSolver,FakeKyivProvider,4.1015625,14.0625,214.03637641803405,51,1.997765568550676,259.8117245794274,57344
0,7,5,6,3,ChocoSolver,FakeKyivProvider,2.63671875,17.67578125,63.826260595385214,51,1.9014034545980394,236.28170792735182,57344
0,8,5,6,3,ChocoSolver,FakeKyivProvider,4.1015625,13.57421875,210.3327631460431,51,2.0045836218632758,260.4229613072239,57344
0,9,5,6,3,ChocoSolver,FakeKyivProvider,3.02734375,11.1328125,106.8156736946054,51,1.9571005429606885,259.4557813659776,57344
0,0,5,6,3,RasenganSegmentedSolver,FakeKyivProvider,80.91908091908093,100.0,0.15856870387909608,42,13.67172984033823,980.8788677337579,144282
0,1,5,6,3,RasenganSegmentedSolver,FakeKyivProvider,79.13306451612904,100.00000000000003,0.23555107448364707,45,14.976320657646284,1168.9497135912534,153482
0,2,5,6,3,RasenganSegmentedSolver,FakeKyivProvider,81.17529880478087,100.0,0.09586653374470852,44,19.290057690115646,1116.6188264598604,150422
0,3,5,6,3,RasenganSegmentedSolver,FakeKyivProvider,77.91044776119404,100.0,0.2601990045414594,45,14.709561965893954,1050.3473463100381,153474
0,4,5,6,3,RasenganSegmentedSolver,FakeKyivProvider,80.74222668004012,100.0,0.24588049828751551,42,13.445363163482398,1014.7058745746035,144287
0,5,5,6,3,RasenganSegmentedSolver,FakeKyivProvider,79.0273556231003,100.0,0.12310030379749244,42,13.802178539102897,1098.0786806028336,144281
0,6,5,6,3,RasenganSegmentedSolver,FakeKyivProvider,74.04426559356136,100.0,0.7738933582262323,38,12.292044319212437,982.9951087748632,128923
0,7,5,6,3,RasenganSegmentedSolver,FakeKyivProvider,78.62823061630219,99.99999999999999,0.1237122717111381,46,16.57794039393775,1199.6801520970184,156549
0,8,5,6,3,RasenganSegmentedSolver,FakeKyivProvider,77.34138972809667,100.0,0.5644511566956192,49,16.077473090728745,1267.389954272192,165753
0,9,5,6,3,RasenganSegmentedSolver,FakeKyivProvider,75.30364372469636,100.0,0.2165991900126518,48,15.332062621600926,1112.0528271251824,162685
0,0,5,6,3,HeaSolver,FakeBrisbaneProvider,0.87890625,4.78515625,85.82998926856364,51,1.7913040381390601,165.06912541482598,57344
0,1,5,6,3,HeaSolver,FakeBrisbaneProvider,2.34375,7.6171875,297.7727854657574,51,1.822817294858396,149.58608300425112,57344
0,2,5,6,3,HeaSolver,FakeBrisbaneProvider,2.5390625,7.91015625,115.13207993420988,51,1.8669962391722947,172.14839656068943,57344
0,3,5,6,3,HeaSolver,FakeBrisbaneProvider,1.7578125,5.95703125,157.04117812368136,51,1.781926624244079,164.22965275868773,57344
0,4,5,6,3,HeaSolver,FakeBrisbaneProvider,1.85546875,7.421875,131.81835918668807,51,1.772164846304804,151.4120499046985,57344
0,5,5,6,3,HeaSolver,FakeBrisbaneProvider,1.46484375,7.51953125,114.02856431058929,51,1.7806507898494601,163.85547939920798,57344
0,6,5,6,3,HeaSolver,FakeBrisbaneProvider,0.78125,7.03125,239.29150330802125,51,1.750740272225812,151.74729937082157,57344
0,7,5,6,3,HeaSolver,FakeBrisbaneProvider,1.3671875,9.1796875,80.61780887557471,51,1.7481993013061583,154.168004615698,57344
0,8,5,6,3,HeaSolver,FakeBrisbaneProvider,1.85546875,5.859375,234.3068841798578,51,1.8401330537162721,150.68218367523514,57344
0,9,5,6,3,HeaSolver,FakeBrisbaneProvider,1.46484375,6.54296875,118.65881332823898,51,1.689833372598514,169.76351442420855,57344
0,0,5,6,3,PenaltySolver,FakeBrisbaneProvider,2.34375,9.5703125,73.62935007510967,51,1.8247639914043248,152.67548049264587,57344
0,1,5,6,3,PenaltySolver,FakeBrisbaneProvider,0.9765625,13.0859375,251.7617179107943,51,1.7619399062823504,170.81704097660258,57344
0,2,5,6,3,PenaltySolver,FakeBrisbaneProvider,0.390625,10.7421875,102.6408690123239,51,1.8921849795151502,170.30904405750334,57344
0,3,5,6,3,PenaltySolver,FakeBrisbaneProvider,0.87890625,5.46875,129.24169900334718,51,2.018076653126627,170.05682055000216,57344
0,4,5,6,3,PenaltySolver,FakeBrisbaneProvider,0.9765625,7.03125,112.68917394615832,51,1.8703496432863176,170.41214373568073,57344
0,5,5,6,3,PenaltySolver,FakeBrisbaneProvider,1.07421875,10.3515625,102.48266588752166,51,1.8333941258024424,172.31744304322638,57344
0,6,5,6,3,PenaltySolver,FakeBrisbaneProvider,3.41796875,16.015625,169.0756831710608,51,1.8276985485572368,171.71105822827667,57344
0,7,5,6,3,PenaltySolver,FakeBrisbaneProvider,3.22265625,13.0859375,63.98037991342692,51,1.8032720619812608,170.25517498306,57344
0,8,5,6,3,PenaltySolver,FakeBrisbaneProvider,1.66015625,12.79296875,186.86962843907594,51,1.781522907782346,171.00775824510492,57344
0,9,5,6,3,PenaltySolver,FakeBrisbaneProvider,2.05078125,10.7421875,100.3442381558197,51,1.7462619228754193,151.34524444909766,57344
0,0,5,6,3,ChocoSolver,FakeBrisbaneProvider,4.296875,14.74609375,81.25585930113103,51,2.0474077286198735,211.71722715324722,57344
0,1,5,6,3,ChocoSolver,FakeBrisbaneProvider,4.4921875,13.76953125,288.6829417460569,51,2.046304809395224,213.06505644065328,57344
0,2,5,6,3,ChocoSolver,FakeBrisbaneProvider,3.02734375,12.59765625,110.86145005673568,51,2.0423117000609636,195.95456337183714,57344
0,3,5,6,3,ChocoSolver,FakeBrisbaneProvider,4.19921875,12.890625,143.4160153859733,51,2.0522837969474494,212.10658916807733,57344
0,4,5,6,3,ChocoSolver,FakeBrisbaneProvider,3.41796875,12.98828125,119.65555228442064,51,2.0041369125247,196.14395575947128,57344
0,5,5,6,3,ChocoSolver,FakeBrisbaneProvider,4.00390625,11.81640625,106.72192369472259,51,1.9874353685881943,214.6355658113025,57344
0,6,5,6,3,ChocoSolver,FakeBrisbaneProvider,6.4453125,15.91796875,180.5942378297644,51,2.0043525588698685,195.62968787830323,57344
0,7,5,6,3,ChocoSolver,FakeBrisbaneProvider,3.61328125,12.890625,77.26234012862514,51,2.022542028222233,199.3493176298216,57344
0,8,5,6,3,ChocoSolver,FakeBrisbaneProvider,2.83203125,12.98828125,211.52343697119142,51,2.022581195924431,209.5456996471621,57344
0,9,5,6,3,ChocoSolver,FakeBrisbaneProvider,3.3203125,10.546875,113.18725571789092,51,2.0247639843728393,213.97161540365778,57344
0,0,5,6,3,RasenganSegmentedSolver,FakeBrisbaneProvider,73.80191693290735,100.0,0.2197695805921545,38,16.86189486598596,809.4219100181945,128920
0,1,5,6,3,RasenganSegmentedSolver,FakeBrisbaneProvider,68.13304721030042,99.99999999999999,0.32868383295302805,39,15.942747779423371,825.450486703543,131986
0,2,5,6,3,RasenganSegmentedSolver,FakeBrisbaneProvider,69.7452229299363,99.99999999999999,0.21709129484540857,39,16.57790307374671,830.849869225407,131980
0,3,5,6,3,RasenganSegmentedSolver,FakeBrisbaneProvider,72.97297297297297,100.0,0.3221621616252252,46,17.406861573224887,945.7312134867534,156540
0,4,5,6,3,RasenganSegmentedSolver,FakeBrisbaneProvider,75.46346782988005,100.0,0.3232590741604167,42,18.10993698402308,850.1357506921049,144263
0,5,5,6,3,RasenganSegmentedSolver,FakeBrisbaneProvider,75.05399568034558,100.0,0.22516198675958435,41,15.890057362383232,822.5965436035767,141194
0,6,5,6,3,RasenganSegmentedSolver,FakeBrisbaneProvider,71.99582027168235,100.0,0.8140020878291537,39,14.231148343067616,821.3247196269222,131983
0,7,5,6,3,RasenganSegmentedSolver,FakeBrisbaneProvider,79.15343915343915,100.0,0.19134199116804404,42,18.95544744376093,884.8856918362435,144271
0,8,5,6,3,RasenganSegmentedSolver,FakeBrisbaneProvider,72.92340884573895,99.99999999999999,0.6429341947249191,48,20.44457219238393,926.0090164116118,162679
0,9,5,6,3,RasenganSegmentedSolver,FakeBrisbaneProvider,70.30752916224814,100.0,0.27041357336293753,38,15.918875095900148,741.0723399152048,128915
