pkid,pbid,layers,variables,constraints,method,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,0,5,6,3,HeaSolver,2.44140625,9.5703125,25.172100350895345,201,6.640735014341772,6.288297582650557,226304
0,1,5,6,3,HeaSolver,1.26953125,8.10546875,14.631414236731496,201,6.723693874664605,6.169176925439388,226304
0,0,5,6,3,PenaltySolver,0.09765625,14.35546875,24.93949067550404,115,3.7164749505463988,4.108329714508727,130048
0,1,5,6,3,PenaltySolver,5.95703125,22.16796875,13.217262958643804,133,4.290475967805833,4.662714594276622,150528
0,0,5,6,3,ChocoSolver,96.6796875,100.0,0.040414663445994356,104,0.6493727357592434,1.3628244462888688,117760
0,1,5,6,3,ChocoSolver,98.2421875,100.0,0.008123224429971994,105,0.2935856361873448,1.3452847769949585,118784
0,0,5,6,3,RasenganSolver,99.51171875,100.0,0.005709134613188794,41,0.2877883887849748,0.6794680082239211,47104
0,1,5,6,3,RasenganSolver,99.70703125,100.0,0.0006880326702981744,40,0.3381289024837315,0.6885642483830452,46080
1,0,5,15,8,HeaSolver,0,0.09765625,79.26389158174652,201,320.6862829781603,7.840069183846936,226304
1,1,5,15,8,HeaSolver,0,0.09765625,59.75994987080001,201,322.9365284559317,8.709934697020799,226304
1,0,5,15,8,PenaltySolver,0,0,68.80512693592372,95,151.38660444691777,5.091267610201612,107520
1,1,5,15,8,PenaltySolver,0.09765625,0.09765625,40.30852003956443,113,160.4526540369261,6.014103230088949,128000
1,0,5,15,8,ChocoSolver,11.62109375,100.0,0.6541015623364747,108,4.177808287087828,3.601869700010866,121856
1,1,5,15,8,ChocoSolver,72.94921875,100.0,0.11794295398718058,119,3.8396068101283163,4.005321295931935,134144
1,0,5,15,8,RasenganSolver,95.703125,100.0,0.048779296862805174,197,7.808317070361227,6.947319032624364,222208
1,1,5,15,8,RasenganSolver,2.1484375,100.0,0.28917305419072203,201,9.16269774013199,6.796812698012218,226304
2,0,5,21,12,HeaSolver,0,0,89.67812873876382,201,517.5265602697618,9.013232965255156,226304
2,1,5,21,12,HeaSolver,0,0,75.22818484169707,201,514.754884877475,9.024045289494097,226304
2,0,5,21,12,PenaltySolver,0,0.390625,44.22100359726519,108,263.9412363730371,7.43185182614252,121856
2,1,5,21,12,PenaltySolver,0,0,58.053584920072005,119,300.63902207138017,8.049699740484357,134144
2,0,5,21,12,ChocoSolver,0.29296875,100.0,0.3471491886351636,100,6.817498730495572,5.980429395567626,113664
2,1,5,21,12,ChocoSolver,11.328125,100.0,0.41135332654655593,110,11.46033686795272,6.474692568881437,124928
2,0,5,21,12,RasenganSolver,99.21875,100.0,0.004000150239615355,201,18.84814918669872,12.933086362434551,226304
2,1,5,21,12,RasenganSolver,89.453125,100.0,0.04114163305788038,201,20.539533015806228,12.949993016198277,226304
3,0,5,28,15,HeaSolver,0,0,94.06261717495832,201,804.9540030446369,139.699342377251,226304
3,1,5,28,15,HeaSolver,0,0,115.93215290107669,201,800.3020924732555,139.72173305461183,226304
3,0,5,28,15,PenaltySolver,0,0,46.06442707719141,118,476.10458616376854,146.98681035125628,133120
3,1,5,28,15,PenaltySolver,0,0,67.75856492229367,116,462.6015720674768,145.197541259462,131072
3,0,5,28,15,ChocoSolver,5.76171875,100.0,0.14475260414736632,107,15.916029441636056,27.720130066387355,120832
3,1,5,28,15,ChocoSolver,7.91015625,100.0,0.6942558912796302,99,28.131206864025444,23.430735361063853,111616
3,0,5,28,15,RasenganSolver,74.21875,100.0,0.03906249999479167,201,86.31405308959074,80.5102187693119,226304
3,1,5,28,15,RasenganSolver,68.06640625,100.0,0.16932953378371646,201,65.60593170835637,58.135755566647276,226304
4,0,5,8,6,HeaSolver,0.1953125,1.953125,664.4886045558713,201,47.47422292875126,6.805796181317419,226304
4,1,5,8,6,HeaSolver,1.171875,2.734375,168.48144510189817,201,47.55095894495025,7.2573704700917006,226304
4,0,5,8,6,PenaltySolver,0.48828125,3.80859375,622.836911986377,132,30.827253407798707,5.835377853130922,149504
4,1,5,8,6,PenaltySolver,0.09765625,10.15625,139.0805662323993,111,23.8604654064402,5.3891497165896,125952
4,0,5,8,6,ChocoSolver,67.08984375,100.0,0.25911458246961805,128,1.8728168967645615,2.1701113583985716,144384
4,1,5,8,6,ChocoSolver,72.265625,100.0,0.22753906221557615,114,1.5652523739263415,1.975057130213827,129024
4,0,5,8,6,RasenganSolver,99.4140625,100.0,0.008463541638454862,43,0.8118107435293496,0.7707833044696599,49152
4,1,5,8,6,RasenganSolver,99.8046875,100.0,0.0019531249975585935,53,1.2598045349586755,1.039128540083766,60416
5,0,5,15,8,HeaSolver,0.09765625,0.1953125,188.7436173991094,201,638.8308781508822,8.048975999001414,226304
5,1,5,15,8,HeaSolver,0,0.09765625,282.8136594912102,201,638.1773974879179,7.750472482992336,226304
5,0,5,15,8,PenaltySolver,0,0.09765625,146.51628761508346,105,326.80729038687423,6.143887717276812,118784
5,1,5,15,8,PenaltySolver,0,0.390625,247.38909896647556,123,388.1455296375789,7.084460701327771,139264
5,0,5,15,8,ChocoSolver,0,100.0,0.5078473770507688,116,2.3857472932431847,3.3003793156240135,131072
5,1,5,15,8,ChocoSolver,0,100.0,0.28137207013664245,95,2.1021183696575463,2.743534221313894,107520
5,0,5,15,8,RasenganSolver,0,100.0,0.2519880021421471,84,3.1611413676291704,2.3196226984728128,95232
5,1,5,15,8,RasenganSolver,0,100.0,0.12585449210884095,84,3.2198593942448497,2.379435186740011,95232
6,0,5,18,9,HeaSolver,0,0,627.3972976542522,201,1009.4422059378121,8.714757377980277,226304
6,1,5,18,9,HeaSolver,0,0,2007.210930809297,201,1006.7392488564365,8.330650417599827,226304
6,0,5,18,9,PenaltySolver,0,0,595.945637524212,88,437.57116554048844,6.136115218512714,99328
6,1,5,18,9,PenaltySolver,0,0,1518.8984324370053,94,464.53838111506775,6.52700351504609,106496
6,0,5,18,9,ChocoSolver,0,100.0,1.0347493480960421,111,3.8842202539090067,3.8488204691093415,125952
6,1,5,18,9,ChocoSolver,0,100.0,8.330403618065322,100,3.41880688467063,3.4775116422679275,113664
6,0,5,18,9,RasenganSolver,0,100.0,0.2546386716628011,121,5.6371750549878925,4.149102536030114,137216
6,1,5,18,9,RasenganSolver,0,100.0,8.333333305555556,71,4.2100460822694,2.804307411890477,80896
7,0,5,21,10,HeaSolver,0,0,866.8479810484599,201,1510.5665652321186,9.474754233844578,226304
7,1,5,21,10,HeaSolver,0,0,1357.3268206544553,201,1511.1523921110202,9.421429712790996,226304
7,0,5,21,10,PenaltySolver,0,0,821.8784986640595,93,700.0431191052776,7.953186969738454,105472
7,1,5,21,10,PenaltySolver,0,0.09765625,916.9879542008534,130,988.690042382339,11.139982843538746,147456
7,0,5,21,10,ChocoSolver,0,100.0,1.1446126292544894,97,5.601854780688882,4.038937582401559,109568
7,1,5,21,10,ChocoSolver,0,100.0,5.141927074763455,93,5.41422234964557,3.9441112314816564,105472
7,0,5,21,10,RasenganSolver,0,100.0,0.750162759791531,122,7.211266670608893,4.639130359282717,138240
7,1,5,21,10,RasenganSolver,0,100.0,4.999999991666667,106,6.769919858314097,4.466767342761159,119808
8,0,5,7,4,HeaSolver,3.61328125,10.25390625,44.4476073996512,201,18.191027849912643,7.18126352597028,226304
8,1,5,7,4,HeaSolver,6.4453125,9.9609375,46.314941383092524,201,18.47169035091065,6.975734819192439,226304
8,0,5,7,4,PenaltySolver,1.171875,1.3671875,47.98852536663073,112,9.236710683675483,4.298670750344172,126976
8,1,5,7,4,PenaltySolver,8.7890625,12.01171875,38.95112302739944,113,9.635270726168528,4.565983812790364,128000
8,0,5,7,4,ChocoSolver,95.60546875,100.0,0.03149414060925293,120,1.3500993966590613,1.7258217511698604,136192
8,1,5,7,4,ChocoSolver,77.24609375,100.0,0.09052734370473632,104,0.9883439431432635,1.4772946818266064,117760
8,0,5,7,4,RasenganSolver,99.51171875,100.0,0.002197265623901367,40,0.9440899405162781,0.9898709435947239,46080
8,1,5,7,4,RasenganSolver,100.0,100.0,0.0,39,0.7469314399641007,0.9136037230491638,44032
9,0,5,10,5,HeaSolver,0.29296875,1.26953125,150.81477852015433,201,122.28508958173916,6.84991464135237,226304
9,1,5,10,5,HeaSolver,0.29296875,1.66015625,89.35947261157025,201,120.83354237815365,7.477808875963092,226304
9,0,5,10,5,PenaltySolver,4.00390625,5.17578125,68.64916986466736,115,33.114965855143964,4.843221498653293,130048
9,1,5,10,5,PenaltySolver,1.26953125,1.953125,66.69423824790287,98,45.71830124990083,4.276562916114926,110592
9,0,5,10,5,ChocoSolver,78.22265625,100.0,0.22192382794006346,109,1.8038173269014806,2.1341918820980936,122880
9,1,5,10,5,ChocoSolver,44.23828125,100.0,0.057128906221435544,105,1.5622476649004966,2.0492661870084703,118784
9,0,5,10,5,RasenganSolver,98.73046875,100.0,0.014241536446465385,64,2.429760516854003,1.7542704241350293,72704
9,1,5,10,5,RasenganSolver,96.97265625,100.0,0.001513671874243164,66,2.3924046952743083,1.999159315833822,74752
10,0,5,14,6,HeaSolver,0,0.09765625,191.5550320564382,201,500.2743153020274,7.532352345064282,226304
10,1,5,14,6,HeaSolver,0,0.390625,127.44051101460812,201,464.59588187211193,7.748724048724398,226304
10,0,5,14,6,PenaltySolver,0,0.1953125,118.48253669501027,126,281.8923787246458,6.730320377275348,142336
10,1,5,14,6,PenaltySolver,0,3.02734375,82.15600582514332,105,217.8286044264678,5.531526919454336,118784
10,0,5,14,6,ChocoSolver,34.9609375,100.0,0.6198874077235956,109,10.131139999255538,3.603496460709721,122880
10,1,5,14,6,ChocoSolver,91.50390625,100.0,0.01855468749226888,113,4.021120456280187,4.268214736832306,128000
10,0,5,14,6,RasenganSolver,92.08984375,100.0,0.05784696687773708,152,10.916790147079155,6.6865555718541145,172032
10,1,5,14,6,RasenganSolver,95.703125,100.0,0.006713867184702555,201,17.136669927742332,10.106210218043998,226304
11,0,5,18,7,HeaSolver,0,0,1285.2316862400457,201,753.2025920888409,7.8323597721755505,226304
11,1,5,18,7,HeaSolver,0,0,617.0338127052702,201,709.610625325935,8.435598301235586,226304
11,0,5,18,7,PenaltySolver,0,0.390625,568.2836899855408,95,337.16987592936493,5.487368677742779,107520
11,1,5,18,7,PenaltySolver,0,0,356.9586177178642,102,352.0801038921345,6.1086767059750855,115712
11,0,5,18,7,ChocoSolver,0,100.0,1.5646972617132568,86,4.90062047727406,3.3330778586678207,97280
11,1,5,18,7,ChocoSolver,0,100.0,2.1722412082221982,112,24.222360614687204,8.585242344299331,126976
11,0,5,18,7,RasenganSolver,0,100.0,1.2551269499871827,152,13.281989814946428,7.3061733960639685,172032
11,1,5,18,7,RasenganSolver,0.09765625,100.0,2.1728515597839353,201,36.39963143598288,20.65189145784825,226304
12,0,5,9,4,HeaSolver,0.78125,2.734375,775.0478476872607,201,114.20516895852052,6.7060969434678555,226304
12,1,5,9,4,HeaSolver,2.44140625,5.56640625,688.933590305332,201,155.20017811376601,7.131560917245224,226304
12,0,5,9,4,PenaltySolver,1.66015625,3.90625,719.5781214021094,100,51.82118299789727,4.203083135187626,113664
12,1,5,9,4,PenaltySolver,0,2.63671875,761.229000100105,113,83.99779491359368,5.310198271414265,128000
12,0,5,9,4,ChocoSolver,46.484375,82.8125,36.89306622178467,98,2.4520583795383573,2.4170507213566452,110592
12,1,5,9,4,ChocoSolver,94.3359375,100.0,0.02880859360595703,104,3.314139044843614,2.9727784441784024,117760
12,0,5,9,4,RasenganSolver,8.7890625,99.31640625,1.8208007721459962,66,1.6299354881048203,1.8954978517722338,74752
12,1,5,9,4,RasenganSolver,99.12109375,100.0,0.004394531228027344,125,4.905691453954205,3.6852950202301145,141312
13,0,5,12,5,HeaSolver,0.09765625,0.68359375,731.5029272491569,201,502.70592490257695,7.364967095432803,226304
13,1,5,12,5,HeaSolver,0.1953125,1.3671875,2227.4228292882717,201,445.4122775904834,7.8126733945682645,226304
