pkid,method,layers,depth,num_params,latency_all
0,HeaSolver,5,344,90,56938.666666666824
0,HeaSolver,5,420,90,58680.88888888907
1,HeaSolver,5,605,225,82979.55555555563
1,HeaSolver,5,605,225,82979.55555555563
2,HeaSolver,5,1084,315,163921.7777777773
2,HeaSolver,5,1229,315,183047.11111111037
3,HeaSolver,5,725,420,98471.111111111
3,HeaSolver,5,715,420,98471.11111111101
4,HeaSolver,5,473,120,68917.33333333353
4,HeaSolver,5,473,120,68917.33333333353
5,HeaSolver,5,587,225,81368.888888889
5,HeaSolver,5,605,225,82979.55555555563
6,HeaSolver,5,809,270,119192.88888888869
6,HeaSolver,5,802,270,118478.22222222203
7,HeaSolver,5,964,315,177486.22222222184
7,HeaSolver,5,778,315,155743.99999999985
8,HeaSolver,5,477,105,72529.77777777796
8,HeaSolver,5,438,105,62908.444444444656
9,HeaSolver,5,382,150,55591.11111111128
9,HeaSolver,5,411,150,57735.1111111113
10,HeaSolver,5,431,210,68142.22222222247
10,HeaSolver,5,420,210,67960.88888888911
11,HeaSolver,5,808,270,122524.44444444422
11,HeaSolver,5,1283,270,204885.33333333267
12,HeaSolver,5,446,135,62616.8888888891
12,HeaSolver,5,446,135,62616.8888888891
13,HeaSolver,5,329,180,43111.11111111121
13,HeaSolver,5,323,180,42808.888888888985
14,HeaSolver,5,624,240,94624.00000000006
14,HeaSolver,5,624,240,94624.00000000006
15,HeaSolver,5,469,300,68675.55555555577
15,HeaSolver,5,512,300,70005.33333333355
16,HeaSolver,5,323,180,42808.888888888985
16,HeaSolver,5,281,180,41781.33333333341
17,HeaSolver,5,587,225,81368.888888889
17,HeaSolver,5,605,225,82979.55555555563
18,HeaSolver,5,534,300,70851.55555555575
18,HeaSolver,5,518,300,70791.11111111133
19,HeaSolver,5,631,360,84480.00000000004
19,HeaSolver,5,595,360,83573.33333333342
0,PenaltySolver,5,410,10,42215.1111111112
0,PenaltySolver,5,412,10,43463.111111111204
1,PenaltySolver,5,1060,10,148501.33333333296
1,PenaltySolver,5,1097,10,156643.55555555518
2,PenaltySolver,5,1711,10,244743.11111111022
2,PenaltySolver,5,1548,10,220597.3333333325
3,PenaltySolver,5,2959,10,384430.22222221474
3,PenaltySolver,5,3247,10,410983.1111111022
4,PenaltySolver,5,1687,10,244583.11111111008
4,PenaltySolver,5,1181,10,171047.1111111106
5,PenaltySolver,5,2706,10,408412.444444436
5,PenaltySolver,5,2740,10,415548.4444444356
6,PenaltySolver,5,4481,10,630069.3333333246
6,PenaltySolver,5,4580,10,617944.8888888798
7,PenaltySolver,5,5326,10,757564.4444444433
7,PenaltySolver,5,5286,10,743605.3333333328
8,PenaltySolver,5,697,10,83925.3333333334
8,PenaltySolver,5,636,10,76074.66666666685
9,PenaltySolver,5,1005,10,130154.66666666634
9,PenaltySolver,5,1100,10,139374.22222222187
10,PenaltySolver,5,2053,10,295573.3333333306
10,PenaltySolver,5,1597,10,236903.1111111102
11,PenaltySolver,5,2979,10,411736.8888888801
11,PenaltySolver,5,2320,10,361799.1111111051
12,PenaltySolver,5,1315,10,188309.33333333267
12,PenaltySolver,5,1516,10,234869.3333333324
13,PenaltySolver,5,2594,10,362538.66666666034
13,PenaltySolver,5,2684,10,351711.99999999395
14,PenaltySolver,5,3197,10,435935.99999998976
14,PenaltySolver,5,3366,10,521240.88888887485
15,PenaltySolver,5,5706,10,828693.3333333364
15,PenaltySolver,5,5342,10,746385.7777777759
16,PenaltySolver,5,1856,10,240561.77777777647
16,PenaltySolver,5,1948,10,275594.6666666648
17,PenaltySolver,5,2500,10,353166.22222221654
17,PenaltySolver,5,2335,10,295032.88888888585
18,PenaltySolver,5,7666,10,1043747.555555575
18,PenaltySolver,5,8620,10,1165518.2222222497
19,PenaltySolver,5,7525,10,1041013.3333333485
19,PenaltySolver,5,9812,10,1310759.1111111478
0,ChocoSolver,5,2520,10,364625.777777771
0,ChocoSolver,5,2413,10,357688.88888888265
1,ChocoSolver,5,27084,10,4295072.000000879
1,ChocoSolver,5,27591,10,4318321.777778628
2,ChocoSolver,5,64615,10,10124227.555553734
2,ChocoSolver,5,63003,10,10089329.777776115
3,ChocoSolver,5,98838,10,15410926.222217914
3,ChocoSolver,5,95068,10,15341343.99999606
4,ChocoSolver,5,7751,10,1141582.2222222507
