pkid,pbid,layers,variables,constraints,method,num_segments,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,0,5,15,8,RasenganSegmentedSolver,1,86.1328125,100.0,0.0443021334049419,101,23.622137964070134,8.955992022929422,114688
0,1,5,15,8,RasenganSegmentedSolver,1,96.38671875,100.0,0.008685172870492516,86,20.52222131194867,7.942760842044663,97280
0,2,5,15,8,RasenganSegmentedSolver,1,8.30078125,100.0,0.021884605529199245,73,18.22543844802567,7.09421584597294,82944
0,3,5,15,8,RasenganSegmentedSolver,1,59.5703125,100.0,0.022243923606991865,74,17.960529003990814,6.919848131008621,83968
0,4,5,15,8,RasenganSegmentedSolver,1,49.4140625,100.0,0.04837986679534756,94,22.22937681293115,8.364133829069033,106496
0,5,5,15,8,RasenganSegmentedSolver,1,96.09375,100.0,0.012752757350440635,72,17.74068351801543,6.9382158189837355,81920
0,6,5,15,8,RasenganSegmentedSolver,1,89.16015625,100.0,0.02484809027317628,81,19.716038368998852,7.297304642001109,92160
0,7,5,15,8,RasenganSegmentedSolver,1,12.98828125,100.0,0.043346058228784984,75,18.027722204002202,7.380257942997559,84992
0,8,5,15,8,RasenganSegmentedSolver,1,92.578125,100.0,0.03845214842788696,91,21.414923064992763,8.25729725000565,103424
0,9,5,15,8,RasenganSegmentedSolver,1,97.4609375,100.0,0.005842242323536449,88,20.992901626006642,8.424206772993784,99328
0,0,5,15,8,RasenganSegmentedSolver,2,47.65625,100.0,0.05461237979718993,94,61.78243472096801,32.10532661803154,212992
0,1,5,15,8,RasenganSegmentedSolver,2,98.73046875,100.0,0.0029296874993766622,100,61.50291871999798,26.456908553001995,227328
0,2,5,15,8,RasenganSegmentedSolver,2,72.65625,100.0,0.030961834011317732,58,42.11271471600048,19.822483113995986,131072
0,3,5,15,8,RasenganSegmentedSolver,2,41.015625,100.0,0.025426793976772815,90,70.80327573595423,38.13759005504107,204800
0,4,5,15,8,RasenganSegmentedSolver,2,59.66796875,100.0,0.05542392417124198,89,58.38627494379034,29.873648427208536,200704
0,5,5,15,8,RasenganSegmentedSolver,2,98.2421875,100.0,0.007889093135708021,92,57.08961206214735,29.53052634485357,208896
0,6,5,15,8,RasenganSegmentedSolver,2,98.33984375,100.0,0.007595486109704539,80,53.62925916095992,27.848394626045774,182272
0,7,5,15,8,RasenganSegmentedSolver,2,26.66015625,100.0,0.07432972299447052,68,50.11829754796054,26.89490705604112,153600
0,8,5,15,8,RasenganSegmentedSolver,2,94.7265625,100.0,0.03286132811678467,119,67.80081668394996,30.073621673051093,268288
0,9,5,15,8,RasenganSegmentedSolver,2,10.9375,100.0,0.08879865678266691,115,75.72016005792102,40.65952836207725,260096
0,0,5,15,8,RasenganSegmentedSolver,3,97.36328125,100.0,0.013127253603244758,96,70.95344564801053,49.80131182198966,325632
0,1,5,15,8,RasenganSegmentedSolver,3,97.65625,100.0,0.004737367020268645,100,69.06800939523237,44.609692171768984,340992
0,2,5,15,8,RasenganSegmentedSolver,3,42.67578125,100.0,0.025310578889293348,66,52.12951887396048,33.6143955810403,224256
0,3,5,15,8,RasenganSegmentedSolver,3,45.21484375,100.0,0.05347583911046744,79,69.70550194683165,44.60071048316604,267264
0,4,5,15,8,RasenganSegmentedSolver,3,24.70703125,100.0,0.06478931863691978,71,60.63129626598675,38.83198169001116,242688
0,5,5,15,8,RasenganSegmentedSolver,3,96.09375,100.0,0.017999387251372668,99,60.68425404698792,38.951702903017576,334848
0,6,5,15,8,RasenganSegmentedSolver,3,96.77734375,100.0,0.012243200229214221,76,68.2933218139442,43.18186892304948,258048
0,7,5,15,8,RasenganSegmentedSolver,3,57.8125,100.0,0.033069957378847735,104,92.16955509412946,59.56093033486832,353280
0,8,5,15,8,RasenganSegmentedSolver,3,92.87109375,100.0,0.03854980467786255,102,85.82255119480396,55.79886307419656,347136
0,9,5,15,8,RasenganSegmentedSolver,3,96.09375,100.0,0.010930646927906905,97,91.69590172594326,72.72270468005445,328704
0,0,5,15,8,RasenganSegmentedSolver,4,41.11328125,100.0,0.036902794464057156,106,96.51586905378645,84.6153936292103,479232
0,1,5,15,8,RasenganSegmentedSolver,4,99.21875,100.0,0.001766123669836995,103,93.3352903617706,80.92960738623515,466944
0,2,5,15,8,RasenganSegmentedSolver,4,95.60546875,100.0,0.011270491801431066,87,72.91792385598092,53.42002708702057,393216
0,3,5,15,8,RasenganSegmentedSolver,4,93.65234375,100.0,0.002350983795860929,103,86.13254642088577,61.81534642311453,466944
0,4,5,15,8,RasenganSegmentedSolver,4,88.28125,100.0,0.014216188522259641,85,72.2240826860434,52.30918986695906,385024
0,5,5,15,8,RasenganSegmentedSolver,4,98.53515625,100.0,0.006242340685050521,100,76.27366846807854,55.7371083079197,454656
0,6,5,15,8,RasenganSegmentedSolver,4,95.80078125,100.0,0.014087818284428181,101,85.32450952912768,62.21103191286966,458752
0,7,5,15,8,RasenganSegmentedSolver,4,75.78125,100.0,0.040016867888632526,94,88.10224513396679,77.26402376703481,425984
0,8,5,15,8,RasenganSegmentedSolver,4,95.703125,100.0,0.027954101555511476,92,79.9598472268699,64.36719401912706,417792
0,9,5,15,8,RasenganSegmentedSolver,4,97.65625,100.0,0.007058662279463393,105,104.14402653493016,76.63590983406903,475136
0,0,5,15,8,RasenganSegmentedSolver,5,46.38671875,100.0,0.03451772835874659,98,95.78446956534026,79.0794441876642,552960
0,1,5,15,8,RasenganSegmentedSolver,5,96.58203125,100.0,0.007854055849392754,83,77.27545028308668,59.94963041291339,471040
0,2,5,15,8,RasenganSegmentedSolver,5,85.25390625,100.0,0.016857710038220047,67,66.91693940808909,52.55316363291058,378880
0,3,5,15,8,RasenganSegmentedSolver,5,59.765625,100.0,0.03338396990122519,86,82.6748457380163,67.42714763397817,486400
0,4,5,15,8,RasenganSegmentedSolver,5,91.69921875,100.0,0.011798796104623147,101,100.8670268419155,83.3676691660803,573440
0,5,5,15,8,RasenganSegmentedSolver,5,99.70703125,100.0,0.0015510110291076448,99,80.9106405268758,66.78137331212201,558080
0,6,5,15,8,RasenganSegmentedSolver,5,99.51171875,100.0,0.0013925057867791655,92,84.86882963877724,65.49935419622489,522240
0,7,5,15,8,RasenganSegmentedSolver,5,73.53515625,100.0,0.0408380681725368,78,80.21128046675585,80.17885521724384,440320
0,8,5,15,8,RasenganSegmentedSolver,5,99.0234375,100.0,0.005981445311004639,106,105.40893515315838,105.36888369484222,599040
0,9,5,15,8,RasenganSegmentedSolver,5,94.62890625,100.0,0.008994654603685148,83,77.79373018089245,77.6867329441011,471040
0,0,5,15,8,RasenganSegmentedSolver,6,19.43359375,100.0,0.09140249397280721,72,83.43689793457452,74.66177251841873,491520
0,1,5,15,8,RasenganSegmentedSolver,6,96.77734375,100.0,0.008020279253612707,89,85.72487442925922,70.67454902573809,602112
0,2,5,15,8,RasenganSegmentedSolver,6,55.17578125,100.0,0.019835425201666323,71,69.19250270386692,61.47390363213344,485376
0,3,5,15,8,RasenganSegmentedSolver,6,89.2578125,100.0,0.013472945599356861,87,104.68062047508283,91.989007377917,589824
0,4,5,15,8,RasenganSegmentedSolver,6,92.28515625,100.0,0.025086449790969433,79,82.3189061739613,73.10619740904076,534528
0,5,5,15,8,RasenganSegmentedSolver,6,98.14453125,100.0,0.006797640930039678,87,88.8050409580901,79.47524393990898,589824
0,6,5,15,8,RasenganSegmentedSolver,6,93.359375,100.0,0.013183593747558594,83,84.03726751903741,74.11340866396495,565248
0,7,5,15,8,RasenganSegmentedSolver,6,58.30078125,100.0,0.020530007097606818,84,89.38526270005968,73.25901229993906,571392
0,8,5,15,8,RasenganSegmentedSolver,6,86.03515625,100.0,0.0854492187286377,90,99.34266470923467,87.98682139876473,614400
0,9,5,15,8,RasenganSegmentedSolver,6,62.01171875,100.0,0.0302220394683821,77,73.22554512807983,54.543463744914334,522240
0,0,5,15,8,RasenganSegmentedSolver,7,84.08203125,100.0,0.020057091342296714,89,118.80985384115775,103.94978443283617,702464
0,1,5,15,8,RasenganSegmentedSolver,7,98.046875,100.0,0.004612699467103681,107,135.00240921588556,118.49970027311792,845824
0,2,5,15,8,RasenganSegmentedSolver,7,46.484375,100.0,0.0177862448741334,70,81.24291576819087,71.44863084080862,559104
0,3,5,15,8,RasenganSegmentedSolver,7,66.015625,100.0,0.031882957170021674,96,151.74503554905823,114.38647422294162,759808
0,4,5,15,8,RasenganSegmentedSolver,7,91.015625,100.0,0.014152151637024237,83,106.7272516552548,94.05010969074647,659456
0,5,5,15,8,RasenganSegmentedSolver,7,97.265625,100.0,0.011010263478233282,89,110.41411823713133,84.29493014986656,702464
0,6,5,15,8,RasenganSegmentedSolver,7,92.1875,100.0,0.014485677080650801,76,99.07533292889275,85.59473666210397,602112
0,7,5,15,8,RasenganSegmentedSolver,7,83.203125,100.0,0.02507990056248184,122,168.76917416290962,159.21517814708932,967680
0,8,5,15,8,RasenganSegmentedSolver,7,98.33984375,100.0,0.011987304684503174,93,113.32313853208325,99.84141204091429,738304
0,9,5,15,8,RasenganSegmentedSolver,7,94.23828125,100.0,0.012027138155784713,71,100.01342617601767,92.92430744298326,566272
0,0,5,15,8,RasenganSegmentedSolver,8,93.359375,100.0,0.02272385816870695,88,122.41607086626027,105.15926143273828,794624
0,1,5,15,8,RasenganSegmentedSolver,8,97.4609375,100.0,0.006337267285885688,97,144.3195775222557,156.2813920607441,876544
0,2,5,15,8,RasenganSegmentedSolver,8,77.44140625,100.0,0.03009733606063978,59,95.23621827176248,82.13010652823868,532480
0,3,5,15,8,RasenganSegmentedSolver,8,55.56640625,100.0,0.028971354161301602,93,148.16953276588174,123.22539330311702,843776
0,4,5,15,8,RasenganSegmentedSolver,8,6.4453125,100.0,0.08790663420690055,88,146.76953074589255,131.8765678651107,794624
