pkid,pbid,layers,variables,constraints,method,amp,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,0,5,6,3,RasenganSegmentedSolver,0.0,87.07070707070706,99.99999999999999,0.11491101485629536,42,18.932702524820343,119.25499361008406,144274
0,1,5,6,3,RasenganSegmentedSolver,0.0,86.39112903225806,100.0,0.16693548353709664,40,17.995759746758267,116.17148598027416,138133
0,2,5,6,3,RasenganSegmentedSolver,0.0,87.06467661691542,100.0,0.13326699825278057,38,17.473929821047932,111.46134868380614,128928
0,3,5,6,3,RasenganSegmentedSolver,0.0,86.11670020120724,100.0,0.13665325273655818,37,17.106262505752966,102.69109469419345,125855
0,4,5,6,3,RasenganSegmentedSolver,0.0,86.17234468937876,100.0,0.15903235030152138,38,20.72880154242739,113.91701583447866,128927
0,5,5,6,3,RasenganSegmentedSolver,0.0,9.667673716012084,100.0,0.5208459211029205,38,21.020155570004135,113.84578990098089,128920
0,6,5,6,3,RasenganSegmentedSolver,0.0,7.63819095477387,100.0,2.810480972295149,42,22.07256597885862,120.26000569900498,144263
0,7,5,6,3,RasenganSegmentedSolver,0.0,10.67472306143001,100.0,0.4604504254979275,45,22.042274415958673,121.29712785407901,153468
0,8,5,6,3,RasenganSegmentedSolver,0.0,87.2745490981964,100.0,0.29609218399862214,38,18.854884702945128,106.92605923512019,128918
0,9,5,6,3,RasenganSegmentedSolver,0.0,11.758793969849247,100.0,0.732286431703125,42,21.4258062527515,121.49093912937678,144274
0,10,5,6,3,RasenganSegmentedSolver,0.0,0.1006036217303823,100.0,1.8474178383229,42,20.219250733498484,122.24553775251843,144280
0,11,5,6,3,RasenganSegmentedSolver,0.0,9.889001009081735,100.0,0.5984448266201349,46,22.653989242389798,121.44682059064507,156546
0,12,5,6,3,RasenganSegmentedSolver,0.0,87.6629889669007,100.0,0.3080491470572653,35,19.688106049085036,106.01491538784467,119712
0,13,5,6,3,RasenganSegmentedSolver,0.0,10.7,100.0,0.220739130338809,39,20.49825349659659,115.70006431848742,131993
0,14,5,6,3,RasenganSegmentedSolver,0.0,84.34093161546086,100.0,0.04897588367243437,41,21.103036044863984,115.69856527703814,141204
0,15,5,6,3,RasenganSegmentedSolver,0.0,6.786427145708583,100.0,0.050716748298485666,40,20.207651551114395,115.06862343498506,138124
0,16,5,6,3,RasenganSegmentedSolver,0.0,87.21047331319235,100.0,0.11800248793485192,38,18.624620516318828,110.85149603663012,128929
0,17,5,6,3,RasenganSegmentedSolver,0.0,86.6062437059416,100.0,0.07714873677629976,37,20.40842352132313,111.79211056162603,125850
0,18,5,6,3,RasenganSegmentedSolver,0.0,9.118541033434651,100.0,0.44405847424215483,44,20.02200697432272,121.40509502380155,150407
0,19,5,6,3,RasenganSegmentedSolver,0.0,1.7000000000000002,100.0,1.7837499977703117,41,21.356719999574125,116.93465345120057,141195
0,20,5,6,3,RasenganSegmentedSolver,0.0,7.366296670030273,100.0,0.324395752091934,42,23.356784464558586,118.78111236845143,144265
0,21,5,6,3,RasenganSegmentedSolver,0.0,8.53413654618474,100.0,1.395958833596417,40,20.905651666456833,120.24174322164617,138129
0,22,5,6,3,RasenganSegmentedSolver,0.0,9.356136820925553,100.0,0.5507042251318309,44,23.33262429572642,118.46339358226396,150417
0,23,5,6,3,RasenganSegmentedSolver,0.0,10.51051051051051,100.0,0.24903164022771357,44,20.97168717184104,121.91864834516309,150402
0,24,5,6,3,RasenganSegmentedSolver,0.0,86.94779116465864,100.0,0.023457466217888252,45,20.25453669624403,123.51280095567927,153489
0,25,5,6,3,RasenganSegmentedSolver,0.0,85.36831483350151,100.0,0.016357746021450785,40,18.569810200016946,119.7273111010436,138133
0,26,5,6,3,RasenganSegmentedSolver,0.0,87.77777777777777,100.0,0.1658585856927273,43,20.633237687172368,120.05565165379085,147333
0,27,5,6,3,RasenganSegmentedSolver,0.0,0.3024193548387097,100.0,0.14427923369061868,41,22.37720527779311,116.2631403892301,141198
0,28,5,6,3,RasenganSegmentedSolver,0.0,88.62034239677745,100.0,0.06577622300030946,41,22.45301110483706,118.1719198632054,141208
0,29,5,6,3,RasenganSegmentedSolver,0.0,88.06419257773321,100.0,0.10175982483682444,39,18.360998077318072,112.90768289752305,132000
0,0,5,6,3,RasenganSegmentedSolver,0.005,67.50998668442078,100.0,0.302707500965485,39,17.63237340003252,113.05293598095886,131989
0,1,5,6,3,RasenganSegmentedSolver,0.005,67.5925925925926,100.0,0.3912698404873016,36,16.266453898511827,108.2866762583144,122782
0,2,5,6,3,RasenganSegmentedSolver,0.005,64.19753086419753,100.0,0.24288980322170414,46,18.616358150029555,119.23417441779748,156550
0,3,5,6,3,RasenganSegmentedSolver,0.005,68.88297872340425,100.0,0.34142287205590627,38,18.374866106314585,108.16368230851367,128918
0,4,5,6,3,RasenganSegmentedSolver,0.005,62.81208935611038,99.99999999999999,0.4440585692341573,39,18.027398998150602,115.5072264119517,131989
0,5,5,6,3,RasenganSegmentedSolver,0.005,24.570673712021136,100.0,0.4918538085668574,42,19.035904406569898,114.9003187015187,144263
0,6,5,6,3,RasenganSegmentedSolver,0.005,32.850940665701884,100.0,2.30183998017248,37,15.789739012019709,104.61011688783765,125848
0,7,5,6,3,RasenganSegmentedSolver,0.005,37.27144866385373,100.0,0.46208924668933293,38,17.85002337465994,113.05583712435327,128923
0,8,5,6,3,RasenganSegmentedSolver,0.005,21.637426900584796,99.99999999999999,1.2735745598115402,33,15.306761973304674,101.24420547368936,113572
