pkid,pbid,layers,variables,constraints,method,p_gate1,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,0,5,6,3,RasenganSegmentedSolver,0.0001,99.56989247311829,100.0,0.00373783921993025,39,18.015168349957094,40.469622764969245,132006
0,1,5,6,3,RasenganSegmentedSolver,0.0001,99.46178686759957,100.0,0.006889128080947116,35,16.02427651337348,39.93168244068511,119721
0,2,5,6,3,RasenganSegmentedSolver,0.0001,99.56989247311829,100.0,0.002652329747335797,38,17.58562690927647,39.15971504058689,128936
0,3,5,6,3,RasenganSegmentedSolver,0.0001,99.56989247311829,100.0,0.004211469530540787,30,15.130189754534513,35.22665166761726,104376
0,4,5,6,3,RasenganSegmentedSolver,0.0001,99.56989247311829,100.0,0.004915514589422836,38,18.17960553546436,41.32725896150805,128936
0,5,5,6,3,RasenganSegmentedSolver,0.0001,99.78494623655914,100.0,0.0020071684574432007,34,14.592431382043287,42.50558382901363,116649
0,6,5,6,3,RasenganSegmentedSolver,0.0001,99.78494623655914,100.0,0.007373271878867568,32,13.621639937860891,37.05697336210869,110513
0,7,5,6,3,RasenganSegmentedSolver,0.0001,99.67741935483872,100.0,0.002590420331178419,34,14.559978693025187,39.35942866001278,116651
0,8,5,6,3,RasenganSegmentedSolver,0.0001,99.56989247311829,100.0,0.008467741924899262,39,18.252135229995474,40.19043862912804,132009
0,9,5,6,3,RasenganSegmentedSolver,0.0001,99.78494623655914,100.0,0.0025537634392640107,31,13.233508406672627,38.67681221035309,107445
0,10,5,6,3,RasenganSegmentedSolver,0.0001,99.78494623655914,100.0,0.004898446828487873,31,12.485491170082241,36.18420767993666,107445
0,11,5,6,3,RasenganSegmentedSolver,0.0001,99.78494623655914,100.0,0.0018342820988575539,34,13.866268219659105,40.58148169727065,116652
0,12,5,6,3,RasenganSegmentedSolver,0.0001,99.56989247311829,100.0,0.010618279556619736,38,16.267742168158293,41.00040791579522,128937
0,13,5,6,3,RasenganSegmentedSolver,0.0001,99.67741935483872,100.0,0.000701262271784845,38,14.734288518549874,41.148651506518945,128927
0,14,5,6,3,RasenganSegmentedSolver,0.0001,99.56989247311829,100.0,0.0013440860203852664,43,18.26483213575557,42.20019554323517,147357
0,15,5,6,3,RasenganSegmentedSolver,0.0001,99.67741935483872,100.0,0.0005376344083577667,30,13.556001291843131,37.62528904620558,104368
0,16,5,6,3,RasenganSegmentedSolver,0.0001,99.46236559139786,100.0,0.004933586334858912,35,17.849983487278223,40.90487309778109,119724
0,17,5,6,3,RasenganSegmentedSolver,0.0001,99.35483870967742,100.0,0.0032258064502103797,34,15.599761422490701,37.65712461154908,116652
0,18,5,6,3,RasenganSegmentedSolver,0.0001,99.78494623655914,100.0,0.0010752688166921361,35,14.795800504740328,42.86733959708363,119723
0,19,5,6,3,RasenganSegmentedSolver,0.0001,99.78494623655914,100.0,0.004569892467405976,33,14.725856949109584,39.36029102583416,113580
0,20,5,6,3,RasenganSegmentedSolver,0.0001,99.78494623655914,100.0,0.0010752688166921361,33,13.2169299563393,38.70374788483605,113579
0,21,5,6,3,RasenganSegmentedSolver,0.0001,99.78494623655914,100.0,0.003897849457493287,34,14.503783837193623,42.14684510882944,116652
0,22,5,6,3,RasenganSegmentedSolver,0.0001,99.78494623655914,100.0,0.0015053763434837808,31,11.154693953925744,36.40937288920395,107442
0,23,5,6,3,RasenganSegmentedSolver,0.0001,99.78494623655914,100.0,0.0010285179986177931,28,11.602885961066931,34.89330852101557,95167
0,24,5,6,3,RasenganSegmentedSolver,0.0001,0.10752688172043011,100.0,0.046578690105905034,33,14.910080772824585,37.986246505286545,113583
0,25,5,6,3,RasenganSegmentedSolver,0.0001,0.10752688172043011,100.0,0.05302773058895542,28,12.31703385617584,33.70738659682684,95166
0,26,5,6,3,RasenganSegmentedSolver,0.0001,99.56989247311829,100.0,0.005698924725483839,37,16.708160119131207,41.68990373169072,125868
0,27,5,6,3,RasenganSegmentedSolver,0.0001,99.67741935483872,100.0,0.0020161290297380677,29,14.382490584161133,34.628006473882124,98235
0,28,5,6,3,RasenganSegmentedSolver,0.0001,99.35483870967742,100.0,0.003508771927978014,41,18.052150547504425,42.02811236260459,141208
0,29,5,6,3,RasenganSegmentedSolver,0.0001,99.56989247311829,100.0,0.0035190615803785946,36,17.828343885252252,40.252065997803584,122792
0,0,5,6,3,RasenganSegmentedSolver,0.0003,99.03121636167921,100.0,0.008355118146618462,36,20.079466635361314,39.58656877069734,122779
0,1,5,6,3,RasenganSegmentedSolver,0.0003,98.16810344827587,100.0,0.02068965513103457,39,18.95133658614941,41.71702512190677,131978
0,2,5,6,3,RasenganSegmentedSolver,0.0003,99.03121636167921,100.0,0.005884463576988283,35,18.133876741398126,39.87512439349666,119720
0,3,5,6,3,RasenganSegmentedSolver,0.0003,98.92357373519914,100.0,0.010674560450379816,29,14.706671361112967,34.8838268967811,98201
0,4,5,6,3,RasenganSegmentedSolver,0.0003,99.03121636167921,100.0,0.0114562509529117,35,17.545316307106987,41.39830873091705,119714
0,5,5,6,3,RasenganSegmentedSolver,0.0003,98.49462365591398,100.0,0.01663082436167279,30,14.495829478139058,36.41226283996366,104374
0,6,5,6,3,RasenganSegmentedSolver,0.0003,98.6021505376344,100.0,0.05115207365964442,33,12.908058843342587,34.524755272781476,113581
0,7,5,6,3,RasenganSegmentedSolver,0.0003,98.6021505376344,100.0,0.01041055718001856,33,11.307579884072766,36.454579477896914,113583
0,8,5,6,3,RasenganSegmentedSolver,0.0003,99.13793103448276,100.0,0.01818426721864889,40,15.852240709355101,39.88617385458201,138132
0,9,5,6,3,RasenganSegmentedSolver,0.0003,98.6021505376344,100.0,0.020228494611013136,31,11.972044281894341,34.92563039017841,107445
0,10,5,6,3,RasenganSegmentedSolver,0.0003,98.6021505376344,100.0,0.03560334524120515,30,12.317405721871182,34.467447323258966,104376
0,11,5,6,3,RasenganSegmentedSolver,0.0003,98.6021505376344,100.0,0.01302972801257587,34,15.98296777997166,38.74516823608428,116652
0,12,5,6,3,RasenganSegmentedSolver,0.0003,99.13793103448276,100.0,0.021417025835297667,39,19.95281505701132,41.20578927290626,131994
0,13,5,6,3,RasenganSegmentedSolver,0.0003,98.6021505376344,100.0,0.01075268816736788,31,14.607511023292318,36.20544333080761,107447
0,14,5,6,3,RasenganSegmentedSolver,0.0003,99.03121636167921,100.0,0.0031395766030528263,35,17.947066823253408,38.773627045797184,119717
0,15,5,6,3,RasenganSegmentedSolver,0.0003,98.49462365591398,100.0,0.0026392961864834647,33,15.414115175139159,38.116591250756755,113584
0,16,5,6,3,RasenganSegmentedSolver,0.0003,99.03017241379311,100.0,0.00988843812805746,33,16.974914947524667,42.109687209362164,113549
0,17,5,6,3,RasenganSegmentedSolver,0.0003,97.84714747039828,100.0,0.010717461501400915,36,17.359402261208743,41.242793092736974,122769
0,18,5,6,3,RasenganSegmentedSolver,0.0003,98.49462365591398,100.0,0.0076804915478018675,34,15.103475014213473,38.26081526884809,116653
0,19,5,6,3,RasenganSegmentedSolver,0.0003,98.6021505376344,100.0,0.03158602146589373,33,13.413802187656984,38.245333382394165,113583
0,20,5,6,3,RasenganSegmentedSolver,0.0003,98.17007534983854,100.0,0.010507970675195093,31,13.485595307778567,35.01327871135436,107446
0,21,5,6,3,RasenganSegmentedSolver,0.0003,98.6021505376344,100.0,0.027688172008400444,34,13.718695287592709,39.242402533302084,116652
0,22,5,6,3,RasenganSegmentedSolver,0.0003,98.6021505376344,100.0,0.010537634404387033,31,14.182776790112257,36.04037303989753,107445
0,23,5,6,3,RasenganSegmentedSolver,0.0003,98.6021505376344,100.0,0.008321645625180243,28,15.36103610158898,34.27298119338229,95165
0,24,5,6,3,RasenganSegmentedSolver,0.0003,0.21505376344086022,100.0,0.05239491688723022,34,15.501056821784005,36.58242295123637,116653
0,25,5,6,3,RasenganSegmentedSolver,0.0003,4.301075268817205,100.0,0.05195246177231691,46,17.014568098820746,44.720215301029384,156557
0,26,5,6,3,RasenganSegmentedSolver,0.0003,99.03121636167921,100.0,0.013778256175672665,37,18.29318569554016,40.580419421428815,125857
0,27,5,6,3,RasenganSegmentedSolver,0.0003,98.49462365591398,100.0,0.011559139770497455,32,16.154849065002054,39.11070560896769,110515
0,28,5,6,3,RasenganSegmentedSolver,0.0003,97.84714747039828,100.0,0.012010650948298758,46,17.763127920683473,42.69090260541998,156525
0,29,5,6,3,RasenganSegmentedSolver,0.0003,99.13793103448276,100.0,0.0070532915296380614,34,18.02401730697602,38.82046589697711,116654
0,0,5,6,3,RasenganSegmentedSolver,0.0005,98.17400644468314,100.0,0.015753669881506307,34,17.308455315651372,40.01805314049125,116651
