pkid,method,layers,depth,num_params
0,0,5,302,9
0,0,5,302,9
0,0,5,302,9
0,0,5,302,9
0,0,5,302,9
0,0,5,302,9
0,0,5,302,9
0,0,5,302,9
0,0,5,302,9
0,0,5,302,9
1,0,5,761,9
1,0,5,761,9
1,0,5,761,9
1,0,5,761,9
1,0,5,761,9
1,0,5,761,9
1,0,5,761,9
1,0,5,761,9
1,0,5,761,9
1,0,5,761,9
2,0,5,749,9
2,0,5,749,9
2,0,5,509,9
2,0,5,749,9
2,0,5,509,9
2,0,5,749,9
2,0,5,509,9
2,0,5,509,9
2,0,5,749,9
2,0,5,509,9
3,0,5,1212,25
3,0,5,558,25
3,0,5,957,25
3,0,5,567,25
3,0,5,532,25
3,0,5,566,25
3,0,5,132,25
3,0,5,1190,25
3,0,5,1040,25
3,0,5,1201,25
4,0,5,2090,36
4,0,5,2090,36
4,0,5,2090,36
4,0,5,2090,36
4,0,5,2090,36
4,0,5,2090,36
4,0,5,2090,36
4,0,5,2090,36
4,0,5,2090,36
4,0,5,2090,36
0,1,5,302,9
0,1,5,302,9
0,1,5,302,9
0,1,5,302,9
0,1,5,302,9
0,1,5,302,9
0,1,5,302,9
0,1,5,302,9
0,1,5,302,9
0,1,5,302,9
1,1,5,761,9
1,1,5,761,9
1,1,5,761,9
1,1,5,761,9
1,1,5,761,9
1,1,5,761,9
1,1,5,761,9
1,1,5,761,9
1,1,5,761,9
1,1,5,761,9
2,1,5,509,9
2,1,5,509,9
2,1,5,509,9
2,1,5,509,9
2,1,5,509,9
2,1,5,509,9
2,1,5,509,9
2,1,5,509,9
2,1,5,509,9
2,1,5,509,9
3,1,5,973,25
3,1,5,558,25
3,1,5,957,25
3,1,5,567,25
3,1,5,532,25
3,1,5,566,25
3,1,5,132,25
3,1,5,805,25
3,1,5,549,25
3,1,5,725,25
4,1,5,2090,36
4,1,5,2090,36
4,1,5,2090,36
4,1,5,2090,36
4,1,5,2090,36
4,1,5,2090,36
4,1,5,2090,36
4,1,5,2090,36
4,1,5,2090,36
4,1,5,2090,36
0,2,5,102,3
0,2,5,102,3
0,2,5,102,3
0,2,5,102,3
0,2,5,102,3
0,2,5,102,3
0,2,5,102,3
0,2,5,102,3
0,2,5,102,3
0,2,5,102,3
1,2,5,257,3
1,2,5,341,4
1,2,5,257,3
1,2,5,341,4
1,2,5,257,3
1,2,5,341,4
1,2,5,257,3
1,2,5,341,4
1,2,5,257,3
1,2,5,341,4
2,2,5,257,4
2,2,5,257,4
2,2,5,173,3
2,2,5,257,4
2,2,5,173,3
2,2,5,257,4
2,2,5,173,3
2,2,5,173,3
2,2,5,257,4
2,2,5,173,3
3,2,5,205,6
3,2,5,28,4
3,2,5,384,9
3,2,5,128,6
3,2,5,241,12
3,2,5,141,8
3,2,5,28,5
3,2,5,215,6
3,2,5,131,6
3,2,5,178,7
4,2,5,524,9
4,2,5,263,5
4,2,5,524,10
4,2,5,524,9
4,2,5,263,5
4,2,5,524,10
4,2,5,524,9
4,2,5,263,5
4,2,5,524,10
4,2,5,524,9
