pkid,pbid,layers,variables,constraints,method,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,0,5,12,6,"[0, 0, 0, 0]",0,0.1953125,92.85277153316534,201,210.35563794801783,29.184607138980937,226304
0,1,5,12,6,"[0, 0, 0, 0]",0.1953125,0.48828125,383.16386642117226,201,207.33465419300774,29.26011010998991,226304
0,2,5,12,6,"[0, 0, 0, 0]",0,0.29296875,250.04736296869078,201,199.43042914800753,26.100898973993026,226304
0,3,5,12,6,"[0, 0, 0, 0]",0,0,109.7408853556995,201,199.26984662099858,31.62860851300138,226304
0,4,5,12,6,"[0, 0, 0, 0]",0.09765625,0.29296875,160.57324205368894,201,194.67923811297078,29.024361150030018,226304
0,0,5,12,6,"[1, 0, 0, 0]",0,0,92.47595791727335,201,207.7251554649847,26.3158731030162,226304
0,1,5,12,6,"[1, 0, 0, 0]",0.09765625,0.390625,388.8328117223344,201,203.03493968099792,27.62556651200066,226304
0,2,5,12,6,"[1, 0, 0, 0]",0.1953125,0.29296875,238.55590790493008,201,194.759320036992,25.444650340006774,226304
0,3,5,12,6,"[1, 0, 0, 0]",0,0.1953125,107.17762580851243,201,200.85416006999003,28.620814271009294,226304
0,4,5,12,6,"[1, 0, 0, 0]",0.09765625,0.1953125,160.3789061163509,201,204.0427682999798,30.146901970019826,226304
0,0,5,12,6,"[1, 1, 0, 0]",0,1.26953125,83.0500371628333,87,80.56059525599994,9.964282147997437,98304
0,1,5,12,6,"[1, 1, 0, 0]",0.87890625,4.6875,291.9312494161375,47,26.87889214202005,6.107291894979426,53248
0,2,5,12,6,"[1, 1, 0, 0]",0.1953125,0.78125,220.03808566245237,103,93.13794218600378,12.075082985997142,116736
0,3,5,12,6,"[1, 1, 0, 0]",0.390625,1.5625,99.76215272235436,93,85.23204988101497,11.655745502986974,105472
0,4,5,12,6,"[1, 1, 0, 0]",1.66015625,3.3203125,122.15307607008076,46,29.83873345900065,5.884203141002217,52224
0,0,5,12,6,"[1, 1, 1, 1]",0,100.0,0.3690476188718821,80,8.190985174005618,13.828403070994682,91136
0,1,5,12,6,"[1, 1, 1, 1]",13.043478260869565,100.0,3.0782608634086963,47,3.155051721001655,7.58505464299742,53248
0,2,5,12,6,"[1, 1, 1, 1]",15.384615384615385,100.0,0.9423076911298078,102,8.144009909003216,16.31475151599807,115712
0,3,5,12,6,"[1, 1, 1, 1]",26.666666666666668,100.0,0.3481481479547324,85,7.436315846996877,15.538003677003871,96256
0,4,5,12,6,"[1, 1, 1, 1]",64.70588235294117,100.0,0.26797385598583884,60,3.52400069997384,10.031846097026573,68608
