pkid,pbid,layers,variables,constraints,method,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,0,5,6,3,HeaSolver,1.5625,10.64453125,15.715670068085725,201,12.391648496981361,26.025248016027035,226304
0,1,5,6,3,HeaSolver,3.125,13.57421875,25.835385518658526,201,11.652926083828788,26.144672548165545,226304
0,2,5,6,3,HeaSolver,3.3203125,12.01171875,17.89195667071456,201,12.384682267118478,26.022467003873317,226304
0,3,5,6,3,HeaSolver,3.41796875,14.2578125,19.60172525388276,201,12.375408929074183,25.736750182928517,226304
0,4,5,6,3,HeaSolver,4.4921875,14.35546875,18.102691644733532,201,11.787650665137335,26.46862343486282,226304
0,5,5,6,3,HeaSolver,3.61328125,12.79296875,18.118548763448924,201,12.786628659974667,25.99816484702751,226304
0,6,5,6,3,HeaSolver,3.7109375,12.79296875,23.913554677934577,201,13.370780543977162,25.357029777020216,226304
0,7,5,6,3,HeaSolver,2.63671875,13.96484375,14.560986324484753,201,12.872214494040236,25.90542487196217,226304
0,0,5,6,3,PenaltySolver,16.796875,23.6328125,15.037484972105773,109,6.474408167981892,14.335015894015669,122880
0,1,5,6,3,PenaltySolver,4.1015625,7.51953125,30.739894687721783,95,6.233188477985095,13.15474004301359,107520
0,2,5,6,3,PenaltySolver,0.1953125,12.3046875,22.54814748369753,99,6.345152129957569,13.89517192504718,111616
0,3,5,6,3,PenaltySolver,6.640625,12.20703125,19.12395832695868,106,6.174297816964099,14.27527538803406,119808
0,4,5,6,3,PenaltySolver,0.87890625,15.8203125,17.818847650681608,108,6.279168835884775,14.35835437210335,121856
0,5,5,6,3,PenaltySolver,0.68359375,16.015625,19.728574804627705,114,6.785861422045855,14.468201045950991,129024
0,6,5,6,3,PenaltySolver,0.68359375,16.11328125,23.490976553103607,102,6.506827492019511,13.654906112977187,115712
0,7,5,6,3,PenaltySolver,1.07421875,5.56640625,14.312133785484466,118,6.285157407983206,14.958033624017844,133120
0,0,5,6,3,ChocoSolver,62.6953125,100.0,0.1851462339268856,105,0.6437451360106934,1.3363925049925456,118784
0,1,5,6,3,ChocoSolver,21.19140625,100.0,0.1744225542719902,121,0.656393169076182,1.5332907739211805,137216
0,2,5,6,3,ChocoSolver,97.55859375,100.0,0.012044270829683554,105,0.3429032740241382,1.3566678909846814,118784
0,3,5,6,3,ChocoSolver,81.0546875,100.0,0.09645182288451605,112,0.5433415340376087,1.4184671729599359,126976
0,4,5,6,3,ChocoSolver,98.14453125,100.0,0.013305664058341979,102,0.6819756619661348,2.103267628030153,115712
0,5,5,6,3,ChocoSolver,88.57421875,100.0,0.09691642989487381,96,0.628383610965102,1.2620995950419456,108544
0,6,5,6,3,ChocoSolver,95.99609375,100.0,0.049023437480390626,102,0.4328056650265353,1.3238489029754419,115712
0,7,5,6,3,ChocoSolver,95.8984375,100.0,0.014135742183966064,118,0.6530532170290826,1.4886547979695024,133120
0,0,5,6,3,RasenganSolver,99.21875,100.0,0.0036057692298446745,40,0.3467052730557043,0.681579409952974,46080
0,1,5,6,3,RasenganSolver,0.5859375,100.0,0.22163722816450554,38,0.2856643350678496,0.6394667259301059,43008
0,2,5,6,3,RasenganSolver,1.171875,100.0,0.2733783143110975,42,0.2933810539834667,0.6847884920134675,48128
0,3,5,6,3,RasenganSolver,100.0,100.0,0.0,43,0.3575983100454323,0.6946375709521817,49152
0,4,5,6,3,RasenganSolver,1.5625,100.0,0.5268554685853577,38,0.3914521769474959,0.6265255520556821,43008
0,5,5,6,3,RasenganSolver,99.70703125,100.0,0.0013020833329387626,44,0.33150501405179966,0.6877491789491614,50176
0,6,5,6,3,RasenganSolver,100.0,100.0,0.0,31,0.31653307196393143,0.5716911340423394,35840
0,7,5,6,3,RasenganSolver,100.0,100.0,0.0,39,0.32568860102037434,0.634878160970402,44032
1,0,5,15,8,HeaSolver,0,0,63.18303570139122,201,317.1714116981311,10.45013810886303,226304
1,1,5,15,8,HeaSolver,0,0,64.2853189970239,201,315.8883370630065,10.739029481002945,226304
1,2,5,15,8,HeaSolver,0,0,50.715372045989284,201,317.7151192269084,9.988019875090686,226304
1,3,5,15,8,HeaSolver,0,0,58.27636717650446,201,321.3670088939398,10.599414374068147,226304
1,4,5,15,8,HeaSolver,0,0,51.62651366327058,201,317.70479384406644,10.719363998941844,226304
1,5,5,15,8,HeaSolver,0,0,68.93723956801395,201,315.73488514298515,10.492495710015646,226304
1,6,5,15,8,HeaSolver,0,0,52.46355269237906,201,316.8584904101008,10.13667259090289,226304
1,7,5,15,8,HeaSolver,0,0,52.46030851865079,201,317.44567881306284,10.77285566694627,226304
1,0,5,15,8,PenaltySolver,0.09765625,0.5859375,41.79783162412289,113,160.6869096809678,7.989812073035864,128000
1,1,5,15,8,PenaltySolver,0,0.09765625,48.90476480100942,98,145.3352688960731,7.384431064929231,110592
1,2,5,15,8,PenaltySolver,0,0.1953125,28.65114305370473,112,148.3847290551057,8.02222087289556,126976
1,3,5,15,8,PenaltySolver,0,0.1953125,43.879680121437794,107,152.80351190903457,7.702607510960661,120832
1,4,5,15,8,PenaltySolver,0,0.1953125,39.79091796211818,105,149.51511626101274,7.714915654985816,118784
1,5,5,15,8,PenaltySolver,0.1953125,0.48828125,51.26302082194155,127,193.56243490893394,8.669754006055882,143360
1,6,5,15,8,PenaltySolver,0,0,48.04066802681514,89,140.07704876006756,6.737427773929085,100352
1,7,5,15,8,PenaltySolver,0,0.1953125,32.873411011377385,117,161.44755540000915,8.354582977990503,132096
1,0,5,15,8,ChocoSolver,85.546875,100.0,0.08229033799341014,107,3.4888573530188296,3.694945106981322,120832
1,1,5,15,8,ChocoSolver,38.0859375,100.0,0.12453206377613915,116,3.7543730488832807,3.8900846881297184,131072
1,2,5,15,8,ChocoSolver,9.5703125,100.0,0.11200051227672123,113,3.704019260156201,3.710169482845231,128000
1,3,5,15,8,ChocoSolver,0,100.0,0.1331994398333586,103,3.4325991800578777,3.647046158948797,116736
1,4,5,15,8,ChocoSolver,0,100.0,0.08675130206887478,120,2.2226301431219326,3.9434081128711114,136192
1,5,5,15,8,ChocoSolver,43.359375,100.0,0.39249131935722414,103,4.2726579750014935,3.596663770993473,116736
1,6,5,15,8,ChocoSolver,98.53515625,100.0,0.004949020126279827,124,3.5568018030025996,4.253712963996804,140288
1,7,5,15,8,ChocoSolver,98.73046875,100.0,0.0019365730928921061,114,3.0394395839684876,3.824721462035086,129024
1,0,5,15,8,RasenganSolver,97.4609375,100.0,0.0170200892822408,201,10.020663887946284,8.92383576805878,226304
1,1,5,15,8,RasenganSolver,35.3515625,100.0,0.046874999990234374,201,9.538981026038527,8.706880455967621,226304
1,2,5,15,8,RasenganSolver,99.21875,100.0,0.0037781762288888235,201,8.262811530919862,8.212026012086426,226304
1,3,5,15,8,RasenganSolver,0,100.0,0.08228920989013411,201,10.04944745998364,9.612043903020094,226304
1,4,5,15,8,RasenganSolver,4.58984375,100.0,0.08577473956903754,201,10.945606746070553,9.58032020193059,226304
1,5,5,15,8,RasenganSolver,100.0,100.0,0.0,201,7.530401585972868,6.281641327033867,226304
1,6,5,15,8,RasenganSolver,11.9140625,100.0,0.18509997348557627,194,10.633865117939422,8.666673875064589,219136
1,7,5,15,8,RasenganSolver,10.44921875,100.0,0.07415254236031313,197,9.881043557063094,8.1286101519363,222208
2,0,5,21,12,HeaSolver,0,0,75.42258378319796,201,516.1381110658403,10.834620061155874,226304
2,1,5,21,12,HeaSolver,0,0,74.30741566280834,201,515.1047100700525,11.401463440939551,226304
2,2,5,21,12,HeaSolver,0,0,70.02900535335388,201,513.7620726661262,10.692962658868055,226304
2,3,5,21,12,HeaSolver,0,0,71.1825431947072,201,507.07276788291347,11.798177156088059,226304
2,4,5,21,12,HeaSolver,0,0,63.311734577593015,201,510.84505071805324,10.761481385939987,226304
2,5,5,21,12,HeaSolver,0,0,64.33158978142718,201,509.91123284204514,11.157700998955988,226304
2,6,5,21,12,HeaSolver,0,0,66.92526505740354,201,510.69284951515147,11.596580849844031,226304
2,7,5,21,12,HeaSolver,0,0,57.17657916604554,201,508.0539842050348,11.504212186962832,226304
