pkid,method,layers,depth,num_params
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
0,HeaSolver,5,46,90
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
1,HeaSolver,5,91,225
2,HeaSolver,5,121,315
2,HeaSolver,5,121,315
2,HeaSolver,5,121,315
2,HeaSolver,5,121,315
2,HeaSolver,5,121,315
2,HeaSolver,5,121,315
2,HeaSolver,5,121,315
2,HeaSolver,5,121,315
2,HeaSolver,5,121,315
2,HeaSolver,5,121,315
3,HeaSolver,5,156,420
3,HeaSolver,5,156,420
3,HeaSolver,5,156,420
3,HeaSolver,5,156,420
3,HeaSolver,5,156,420
3,HeaSolver,5,156,420
3,HeaSolver,5,156,420
3,HeaSolver,5,156,420
3,HeaSolver,5,156,420
3,HeaSolver,5,156,420
4,HeaSolver,5,56,120
4,HeaSolver,5,56,120
4,HeaSolver,5,56,120
4,HeaSolver,5,56,120
4,HeaSolver,5,56,120
4,HeaSolver,5,56,120
4,HeaSolver,5,56,120
4,HeaSolver,5,56,120
4,HeaSolver,5,56,120
4,HeaSolver,5,56,120
5,HeaSolver,5,91,225
5,HeaSolver,5,91,225
5,HeaSolver,5,91,225
5,HeaSolver,5,91,225
5,HeaSolver,5,91,225
5,HeaSolver,5,91,225
5,HeaSolver,5,91,225
5,HeaSolver,5,91,225
5,HeaSolver,5,91,225
5,HeaSolver,5,91,225
6,HeaSolver,5,106,270
6,HeaSolver,5,106,270
6,HeaSolver,5,106,270
6,HeaSolver,5,106,270
6,HeaSolver,5,106,270
6,HeaSolver,5,106,270
6,HeaSolver,5,106,270
6,HeaSolver,5,106,270
6,HeaSolver,5,106,270
6,HeaSolver,5,106,270
7,HeaSolver,5,121,315
7,HeaSolver,5,121,315
7,HeaSolver,5,121,315
7,HeaSolver,5,121,315
7,HeaSolver,5,121,315
7,HeaSolver,5,121,315
7,HeaSolver,5,121,315
7,HeaSolver,5,121,315
7,HeaSolver,5,121,315
7,HeaSolver,5,121,315
8,HeaSolver,5,51,105
8,HeaSolver,5,51,105
8,HeaSolver,5,51,105
8,HeaSolver,5,51,105
8,HeaSolver,5,51,105
8,HeaSolver,5,51,105
8,HeaSolver,5,51,105
8,HeaSolver,5,51,105
8,HeaSolver,5,51,105
8,HeaSolver,5,51,105
9,HeaSolver,5,66,150
9,HeaSolver,5,66,150
9,HeaSolver,5,66,150
9,HeaSolver,5,66,150
9,HeaSolver,5,66,150
9,HeaSolver,5,66,150
9,HeaSolver,5,66,150
9,HeaSolver,5,66,150
9,HeaSolver,5,66,150
9,HeaSolver,5,66,150
10,HeaSolver,5,86,210
10,HeaSolver,5,86,210
10,HeaSolver,5,86,210
10,HeaSolver,5,86,210
10,HeaSolver,5,86,210
10,HeaSolver,5,86,210
10,HeaSolver,5,86,210
10,HeaSolver,5,86,210
10,HeaSolver,5,86,210
10,HeaSolver,5,86,210
11,HeaSolver,5,106,270
11,HeaSolver,5,106,270
11,HeaSolver,5,106,270
11,HeaSolver,5,106,270
11,HeaSolver,5,106,270
11,HeaSolver,5,106,270
11,HeaSolver,5,106,270
11,HeaSolver,5,106,270
11,HeaSolver,5,106,270
11,HeaSolver,5,106,270
